idx,pattern,mean_loss,std_loss
326,stable,0.110789165,0.031756647
327,stable,0.10472302,0.020729985
328,stable,0.1585319,0.2248539
329,falling,0.083143756,0.06980996
330,falling,0.05520389,0.02259766
331,falling,0.08853399,0.0297082
332,falling,0.071453564,0.020534763
333,falling,0.07877494,0.02319196
334,stable,0.08916465,0.030761298
335,stable,0.048297267,0.024996491
336,stable,0.051465966,0.03091399
337,stable,0.058395628,0.048795745
338,stable,0.061327003,0.074721634
339,stable,0.066460185,0.09802378
340,rising,0.06239728,0.025164504
341,rising,0.07484986,0.022688504
342,rising,0.05024301,0.04206365
343,rising,0.026658272,0.025439143
344,rising,0.039887905,0.022637112
345,stable,0.03201128,0.029393308
346,rising,0.031204859,0.01430392
347,stable,0.054752953,0.1438208
348,stable,0.022033697,0.011007806
349,stable,0.07991596,0.1657421
350,stable,0.039656553,0.02239419
351,stable,0.060797133,0.022448173
352,falling,0.095300846,0.12129577
353,falling,0.06130183,0.023707233
354,falling,0.048485532,0.016404795
355,falling,0.05461916,0.027461119
356,falling,0.05622999,0.015897794
357,falling,0.08520401,0.027758278
358,stable,0.088480406,0.038073104
359,stable,0.079926796,0.07331423
360,stable,0.07950865,0.105171144
361,stable,0.05655694,0.111505345
362,stable,0.06764997,0.09047642
363,stable,0.063918225,0.026810957
364,stable,0.09266009,0.07525615
365,rising,0.07837096,0.034622405
366,rising,0.08884659,0.025830314
367,rising,0.07494464,0.03134611
368,rising,0.114278436,0.19031379
369,rising,0.0869198,0.026922408
370,stable,0.085523345,0.02512
371,stable,0.09336869,0.11368187
372,stable,0.09674797,0.0232865
373,stable,0.06664686,0.015028798
374,stable,0.05683073,0.02417437
375,stable,0.056469657,0.017246813
376,falling,0.04575493,0.016994733
377,falling,0.05487441,0.0590261
378,falling,0.041604627,0.006840205
379,falling,0.04735343,0.011282023
380,falling,0.045564935,0.011147549
381,falling,0.0366242,0.011449379
382,stable,0.037693176,0.02433466
383,stable,0.05334614,0.09275935
384,stable,0.048860695,0.058765203
385,stable,0.04856038,0.03829641
386,stable,0.05802913,0.036161575
387,rising,0.05716064,0.0238523
388,rising,0.050861087,0.040367987
389,rising,0.04403225,0.02676345
390,rising,0.02925023,0.010172642
391,rising,0.031772766,0.010994183
392,rising,0.02852997,0.0134558985
393,rising,0.028907511,0.0065438156
394,stable,0.031171978,0.007811944
395,stable,0.102309465,0.33636272
396,stable,0.051078234,0.016454782
397,stable,0.039573994,0.01500302
398,stable,0.071147345,0.16702291
399,stable,0.048987158,0.08254847
400,falling,0.038979825,0.059193347
401,falling,0.03368417,0.04912997
402,falling,0.037171327,0.013399497
403,falling,0.050969657,0.008516532
404,falling,0.07549546,0.01102642
405,stable,0.08592402,0.02465239
406,stable,0.09916034,0.022839649
407,stable,0.097735964,0.022078108
408,stable,0.10342113,0.070673816
409,stable,0.11087549,0.08500407
410,stable,0.1064172,0.07911454
411,stable,0.092503116,0.015242009
412,stable,0.09627458,0.015261111
413,rising,0.10526844,0.029997274
414,rising,0.08256933,0.059554983
415,rising,0.044722665,0.017466603
416,stable,0.039367914,0.027441002
417,stable,0.034232784,0.01566638
418,stable,0.05810177,0.06870778
419,stable,0.071534835,0.13776991
420,stable,0.080033794,0.035698213
421,stable,0.053550128,0.011277693
422,stable,0.038207907,0.01895617
423,stable,0.056808293,0.09413825
424,falling,0.055449978,0.09699026
425,falling,0.032377567,0.0049010655
426,falling,0.03672472,0.019338176
427,falling,0.040431388,0.008128337
428,falling,0.036557246,0.008273126
429,stable,0.039423347,0.010446143
430,stable,0.038466867,0.013523121
431,stable,0.038417723,0.010240759
432,stable,0.044847924,0.07043292
433,stable,0.047434248,0.12184848
434,stable,0.04371845,0.084153794
435,stable,0.028823633,0.020233385
436,rising,0.04074577,0.05584766
437,rising,0.049684957,0.013665378
438,rising,0.056631256,0.03190501
439,rising,0.06519406,0.027820697
440,rising,0.07707084,0.019985588
441,rising,0.06880932,0.02918501
442,stable,0.077011965,0.022734873
443,stable,0.09779365,0.025224192
444,stable,0.12939948,0.16043949
445,stable,0.18810377,0.16764395
446,stable,0.14601102,0.035180066
447,stable,0.15655622,0.025689922
448,falling,0.15565628,0.032296803
449,falling,0.12584075,0.02342406
450,falling,0.12179292,0.027719622
451,falling,0.10171332,0.02150384
452,falling,0.09067285,0.01997219
453,falling,0.11203805,0.030677535
454,stable,0.09955005,0.031614173
455,stable,0.075465985,0.03891959
456,stable,0.05916882,0.014598245
457,stable,0.073599026,0.045555986
458,stable,0.040048853,0.009580851
459,rising,0.039674554,0.044096682
460,rising,0.02808369,0.01161408
461,rising,0.03093606,0.009608645
462,rising,0.042265244,0.013032817
463,rising,0.031910595,0.014092662
464,rising,0.034777064,0.029348016
465,rising,0.033300973,0.00897955
466,stable,0.050117455,0.076647
467,stable,0.040893868,0.03082686
468,stable,0.058337193,0.114701934
469,stable,0.074763305,0.18412298
470,stable,0.038042404,0.006730051
471,stable,0.03975631,0.006953665
472,stable,0.045703035,0.010666263
473,falling,0.03363552,0.007398921
474,falling,0.029579973,0.0055808267
475,falling,0.05192328,0.05148685
476,falling,0.040667366,0.00897291
477,stable,0.05572683,0.018935127
478,falling,0.039749317,0.00729935
479,stable,0.06293652,0.010811921
480,stable,0.074614145,0.014654121
481,stable,0.07382901,0.018100947
482,stable,0.09508143,0.07153333
483,stable,0.10103135,0.08194936
484,rising,0.09838518,0.050999362
485,rising,0.12638064,0.191334
486,rising,0.092239685,0.02211585
487,rising,0.06307366,0.019960959
488,rising,0.07792445,0.024400478
489,rising,0.050828177,0.022174979
490,stable,0.06849087,0.041786484
